popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,followers,monthly_listeners,enwiki_title,pageview_status,pageviews_total,pageview_months,mapping_tier,fua_code,study_city_label,mapped_fua,log10_followers,log10_pageviews,expected_log10_pageviews,attention_residual_log10,follower_rank,pageview_rank
589,6veTV9sF06FBf2KN0xAdvo,The Go! Team,Q1514317,101993,202864,The Go! Team,ok,35506,12,strict,UK515F,Brighton and Hove,True,5.008570366215898,4.550301748737082,4.614848669549587,-0.06454692081250446,568.0,616.0
590,3tgiOZXeC1DIimfprvfL64,Sam And The Womp,Q2115414,49372,201092,Sam and the Womp,ok,22645,12,excluded_no_defensible_fua,,,False,4.6934807203200135,4.354972325018976,4.389534076971302,-0.03456175195232536,738.0,694.0
591,0NV5eY4Jzg4ldg2ikGnV4n,Virus Syndicate,Q14158679,68866,200462,Virus Syndicate,ok,2739,12,excluded_no_defensible_fua,,,False,4.83800485823757,3.4375920322539613,4.4928805298832515,-1.0552884976292902,663.0,900.0
592,6e6GkaF6uiSEFuTrlvDJUF,The Twilight Sad,Q750092,116543,199417,The Twilight Sad,ok,69086,12,excluded_no_defensible_fua,,,False,5.066486193320602,4.839390048260432,4.6562631722408065,0.1831268760196254,537.0,459.0
593,3UqRgrDIQ208yNGiWKRMNt,Napalm Death,Q321762,453164,199401,Napalm Death,ok,296451,12,excluded_no_defensible_fua,,,False,5.65625540158335,5.471952919662428,5.077995877855792,0.3939570418066358,259.0,147.0
594,77zwstbi3x1IxnbDFg6uns,Wishbone Ash,Q137758,239755,199281,Wishbone Ash,ok,180638,12,strict,UK561F,Torbay,True,5.379767672984586,5.256809116156556,4.880284779653882,0.3765243365026736,380.0,226.0
595,0THUMJMWUd5L8os9K6O4FE,World Party,Q2504465,59109,199197,World Party,ok,69600,12,strict,UK001F,London,True,4.771653612061533,4.842609239610562,4.44543401999649,0.39717521961407165,698.0,457.0
596,1fQDzf4lnUF4DYngrLJH0m,letherette,Q16960515,72744,199074,Letherette,ok,2205,12,excluded_no_defensible_fua,,,False,4.861797178079228,3.3434085938038574,4.509893963747045,-1.1664853699431874,652.0,908.0
597,3z3KnhKZObj216IgfHYGVf,Diamond Head,Q552377,216505,199057,Diamond Head (British band),ok,112934,12,strict,UK002F,Birmingham,True,5.335467930469223,5.052824710653293,4.8486068792018,0.2042178314514933,396.0,334.0
598,4zPGlyitRvJo7iz6OKlETa,Gomez,Q1536853,139162,198405,Gomez (band),ok,60699,12,strict,UK006F,Liverpool,True,5.143520661687525,4.7831815362472625,4.711349050436605,0.07183248581065715,497.0,487.0
